2018-09-20 14:20:46, com.zaxxer.hikari.HikariDataSource, INFO, EventHandler - Starting...
2018-09-20 14:20:46, com.zaxxer.hikari.pool.PoolBase, INFO, EventHandler - Driver does not support get/set network timeout for connections. (com.mysql.jdbc.JDBC4Connection.getNetworkTimeout()I)
2018-09-20 14:20:46, com.zaxxer.hikari.HikariDataSource, INFO, EventHandler - Start completed.
2018-09-20 14:20:47, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8454
2018-09-20 14:20:48, eu.arrowhead.common.ArrowheadMain, INFO, Started server at: http://0.0.0.0:8454
2018-09-20 14:20:48, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8442/serviceregistry
2018-09-20 14:20:48, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2018-09-20 14:20:48, eu.arrowhead.common.Utility, ERROR, Request returned with DUPLICATE_ENTRY: There is already an entry in the database with these parameters. Please check the unique fields of the class eu.arrowhead.common.database.ServiceRegistryEntry
2018-09-20 14:20:48, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2018-09-20 14:20:48, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2018-09-20 14:20:48, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2018-09-20 14:20:48, eu.arrowhead.common.Utility, ERROR, Request returned with DUPLICATE_ENTRY: There is already an entry in the database with these parameters. Please check the unique fields of the class eu.arrowhead.common.database.ServiceRegistryEntry
2018-09-20 14:20:49, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2018-09-20 14:20:49, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2018-09-20 14:21:58, eu.arrowhead.core.eventhandler.EventHandlerResource, INFO, EventFilter was saved.
2018-09-20 14:23:54, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 14:23:54, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8488/qosmonitorclient
